salary,tenureMonths,engagementScore,performanceScore,absenteeismDays,overtimeHours,lastPromotionMonths,trainingHours,attrition
68161.39,19,3.45,4.64,8,17.8,19,44.2,1
51326.74,7,3.24,3.15,1,2.8,7,26.7,0
45671.57,20,4.07,3.02,5,3.8,6,27.9,0
76471.28,11,2.74,3.07,4,0.9,11,15.2,1
90436.19,78,3.08,3.37,6,4.0,11,16.7,0
86899.89,52,3.84,4.75,3,0.2,24,18.6,0
42800.84,14,3.01,4.48,5,0.8,14,53.0,0
52908.28,19,3.18,3.4,3,0.9,19,29.9,0
68357.42,33,2.87,3.05,7,5.0,23,12.4,1
88452.24,56,3.07,2.27,5,4.2,12,46.6,1
49430.86,42,3.74,2.86,7,8.0,14,54.0,0
55588.77,40,4.67,2.12,6,3.1,40,8.0,0
38463.54,36,1.86,4.02,8,3.2,34,59.6,0
37105.38,15,2.19,4.43,6,0.9,15,14.3,1
82868.5,33,3.09,3.24,4,6.8,14,53.4,0
103001.21,31,3.24,3.77,4,0.0,31,45.3,0
58174.13,11,3.03,2.74,2,2.8,11,24.1,0
89448.04,77,2.76,2.14,2,1.0,1,7.6,0
69192.96,21,2.21,3.54,5,7.4,15,42.4,1
46256.26,11,2.71,3.77,2,5.6,7,31.1,0
69186.31,24,3.85,4.69,1,6.1,4,51.5,0
110770.37,27,3.27,4.94,4,0.8,14,33.9,0
59022.24,30,3.74,3.31,6,5.5,20,30.4,0
111955.58,26,2.24,4.14,6,5.9,19,39.3,0
20996.31,31,4.36,3.72,9,0.0,31,32.3,0
83179.9,35,2.75,3.5,3,1.9,35,62.2,1
61995.61,33,3.58,3.47,9,0.5,30,27.6,0
53124.69,40,3.1,3.4,6,5.7,40,53.8,1
62112.61,41,2.77,3.43,11,1.2,25,43.1,0
27037.29,42,3.55,4.66,5,1.5,32,36.3,1
54837.59,48,3.68,3.65,2,0.4,18,9.4,0
69067.88,20,5.0,4.72,7,3.3,8,29.6,0
108137.37,20,3.71,2.87,2,0.2,20,13.5,0
48663.86,56,3.7,1.52,2,9.3,5,22.6,0
43330.09,24,4.12,3.18,5,0.1,24,21.6,0
48986.36,29,3.63,2.91,7,0.3,8,54.6,1
86349.72,28,3.17,2.45,4,5.1,22,32.7,0
68288.76,100,3.46,4.41,6,12.4,43,57.8,0
48440.71,18,3.88,2.56,6,11.1,2,12.9,0
73519.57,17,4.31,3.91,2,0.4,13,28.3,0
62244.85,31,1.99,4.91,10,1.7,14,92.3,0
88208.45,28,1.69,2.7,4,3.7,28,37.5,1
45214.76,14,4.28,3.34,4,0.1,14,20.2,0
52519.25,30,2.56,4.45,4,3.8,13,16.1,1
51182.69,32,1.87,3.21,3,3.0,32,47.4,1
33342.7,23,1.8,3.73,3,4.4,18,29.7,1
67403.22,29,4.64,3.95,7,12.6,9,54.4,0
66464.42,19,3.9,3.62,7,1.6,5,10.7,0
59996.73,14,2.56,3.19,7,5.1,9,2.6,1
54511.4,24,2.6,2.95,3,2.8,6,25.9,0
33991.02,16,3.24,2.73,5,2.9,16,29.9,0
50601.77,12,3.89,3.92,7,5.2,12,12.2,0
52203.99,7,2.96,3.04,7,15.1,7,57.9,0
43437.96,36,2.57,4.34,4,9.9,2,41.6,1
56133.37,24,4.11,4.61,8,5.1,24,55.5,0
70376.9,57,3.18,2.69,8,3.1,29,55.8,1
127321.97,25,3.05,4.02,5,2.8,16,13.6,0
64204.66,36,3.67,4.94,10,7.7,18,37.5,0
66371.31,21,1.49,2.9,6,1.2,21,45.0,0
58117.47,31,3.58,4.34,9,4.4,14,54.3,0
27791.67,7,3.53,3.89,8,3.5,7,71.0,0
59242.5,24,2.1,4.17,6,5.2,17,65.4,1
61334.15,18,1.65,2.97,4,1.0,18,13.9,1
160379.29,53,2.75,4.83,2,5.9,20,32.9,0
55439.94,35,3.35,3.03,3,4.9,19,27.7,0
67549.7,49,3.43,3.95,1,1.0,12,19.3,0
59048.55,60,4.56,3.46,8,3.0,24,24.8,1
37516.22,23,3.35,3.88,7,5.7,18,69.0,0
94573.17,34,2.08,2.81,5,11.6,13,37.4,0
80884.15,15,3.0,2.64,2,0.7,15,6.5,1
82159.09,39,2.16,3.7,7,0.0,6,9.6,0
41616.21,42,3.06,3.24,12,0.9,6,26.7,0
104937.24,38,4.33,3.22,5,22.7,28,86.3,1
34175.34,23,3.57,3.88,3,7.3,7,13.2,1
75715.85,81,2.62,2.45,4,4.8,24,53.4,0
143800.51,32,3.67,4.34,5,0.7,32,34.3,0
40287.05,130,2.58,3.58,6,2.7,46,46.6,0
47737.9,15,1.0,4.03,3,6.3,13,48.2,1
62308.96,45,2.21,3.87,3,11.3,13,83.6,1
48952.7,54,3.57,3.91,1,2.4,17,51.0,0
32200.42,15,3.82,2.66,5,40.0,2,28.0,1
61538.93,27,4.57,4.32,2,0.8,3,22.5,0
39146.98,11,3.47,3.69,4,2.4,4,72.3,0
72362.03,61,4.28,3.17,2,10.4,12,25.1,0
41449.47,30,3.7,3.41,7,5.2,13,38.4,0
111298.8,18,3.95,3.75,3,8.3,11,11.9,0
43769.77,55,4.08,3.63,9,11.9,13,12.9,0
52637.04,31,3.59,3.92,6,3.5,31,33.1,0
82901.37,50,4.06,4.66,5,1.3,31,12.9,0
36594.54,41,2.64,2.77,2,5.9,15,37.2,0
65577.24,16,1.26,4.03,5,4.1,12,12.7,1
100998.11,22,3.72,3.42,5,7.4,14,51.9,0
31476.82,18,3.5,4.3,8,3.6,18,25.7,0
64463.44,14,2.5,4.64,2,8.3,7,47.5,0
66433.26,9,2.19,3.64,5,11.6,9,46.6,1
81857.0,90,3.3,3.93,5,6.9,63,44.4,0
36505.55,37,3.77,4.35,6,6.8,37,39.5,0
35306.32,40,3.62,4.2,1,4.4,13,38.8,0
73775.11,58,2.38,4.38,3,3.2,8,26.9,0
67426.53,22,2.56,3.29,9,18.0,1,30.7,1
66184.21,12,3.74,3.14,6,5.2,12,72.4,0
68773.88,48,3.26,2.7,5,9.2,2,54.1,0
45614.92,13,4.05,3.36,4,3.5,13,30.8,0
65703.11,47,2.94,3.44,3,4.0,9,18.2,0
67321.1,10,3.79,3.4,11,5.4,10,17.5,0
44992.88,13,3.17,3.84,6,6.5,9,36.3,1
126286.68,21,2.62,3.86,3,3.0,21,52.8,0
72368.99,46,3.94,3.45,7,2.2,29,46.1,1
37178.23,75,2.41,3.74,6,1.4,9,158.7,0
77856.4,40,3.26,4.08,2,2.8,2,14.0,0
40543.36,21,3.34,2.94,4,1.2,21,19.2,0
82029.47,53,3.1,4.15,5,2.7,12,59.8,0
95171.73,10,3.99,3.07,2,10.4,10,22.7,0
43119.35,17,3.66,4.51,2,18.9,17,24.1,1
88022.74,33,3.56,3.62,4,4.3,14,86.0,0
70623.09,49,3.25,3.54,6,0.8,18,48.0,0
83185.14,28,4.69,2.25,4,2.8,12,44.6,0
127863.32,26,4.37,3.96,6,4.6,7,8.8,0
54276.4,27,3.94,3.57,8,2.3,25,36.0,0
44289.62,58,3.8,3.62,7,1.1,35,20.5,0
41948.34,19,2.72,3.43,8,1.3,19,22.7,0
43203.46,16,3.16,3.94,5,3.2,16,69.8,0
58055.77,26,3.71,4.08,1,1.2,13,17.8,0
68628.34,62,4.04,3.84,5,1.4,7,31.2,0
66881.41,20,3.91,4.42,5,10.3,7,36.8,0
83355.79,27,3.66,3.0,7,7.5,21,25.6,0
60186.34,10,4.8,3.09,2,0.3,10,17.3,0
107088.8,27,3.09,3.78,6,1.9,27,35.3,0
53859.67,36,4.01,3.96,6,3.8,12,35.3,0
177738.33,13,3.91,3.86,3,0.3,13,42.0,0
76900.44,58,3.56,2.6,5,5.7,27,52.7,1
42494.8,36,3.58,2.66,7,2.4,1,20.4,0
39012.72,22,3.57,3.37,4,2.5,0,16.3,0
72619.51,36,2.63,2.25,3,1.5,11,33.4,0
54754.5,42,3.52,3.68,2,2.0,42,17.6,1
79666.16,8,3.8,3.45,4,9.9,8,48.6,0
72351.76,37,3.46,2.86,8,7.8,9,28.1,0
58155.08,61,1.73,3.11,9,13.7,28,67.2,1
42671.33,19,1.93,3.58,11,6.0,19,21.1,1
32665.05,23,2.55,2.45,4,4.3,23,35.6,0
50080.85,25,3.11,3.08,8,1.5,24,24.3,0
84335.61,49,2.59,3.32,2,5.5,4,14.2,0
65227.57,15,3.72,3.29,2,11.8,11,24.6,0
36377.45,41,4.15,3.31,8,0.4,25,20.2,0
64168.8,25,4.27,4.45,3,2.9,25,17.2,0
69851.51,77,3.47,4.16,6,0.8,12,10.2,0
42043.37,26,4.07,3.05,6,8.3,9,52.1,0
63671.35,5,2.75,2.77,6,4.8,3,25.4,0
61284.58,45,3.08,3.21,4,10.6,17,157.2,0
37904.0,39,2.27,4.36,2,0.3,29,41.0,0
69086.52,35,4.17,2.01,4,11.8,28,17.4,0
74930.31,60,4.77,3.56,7,0.3,2,30.8,0
92338.87,9,2.92,3.28,5,1.7,9,26.3,0
91264.83,17,1.46,4.34,5,0.8,17,24.9,0
34507.51,31,2.44,4.19,5,0.8,16,38.2,1
41145.51,34,2.68,2.47,4,0.9,31,29.0,0
73571.58,28,2.14,4.34,4,3.3,15,39.6,0
73534.82,10,2.38,1.87,2,7.7,5,24.3,0
73571.95,23,3.36,3.93,4,11.4,10,14.2,1
279593.66,74,3.73,3.99,3,4.2,25,33.7,0
75233.82,14,1.55,4.68,5,0.9,14,22.9,0
94299.04,30,2.77,3.66,3,0.4,7,58.3,0
87693.29,41,3.23,3.03,6,3.4,41,32.2,0
77695.8,48,2.35,2.79,8,7.2,48,13.2,1
52780.25,45,3.39,4.52,5,4.8,7,15.4,1
81112.12,22,3.11,4.69,6,4.4,22,46.3,1
43952.73,17,2.84,3.19,2,0.2,17,9.7,0
54462.77,77,2.51,3.52,7,2.7,13,62.0,1
49308.64,51,3.42,4.45,4,4.0,5,9.5,0
61867.46,32,2.59,4.04,7,4.6,32,26.0,1
151125.13,66,1.81,3.37,3,0.0,16,80.1,0
28370.18,10,3.22,2.97,7,1.1,3,45.1,1
78787.06,12,2.21,2.91,5,15.0,12,41.0,1
31411.01,5,1.88,4.17,4,3.6,5,14.9,1
49574.27,34,3.3,3.24,7,6.1,9,73.8,1
92557.03,35,3.07,3.22,5,1.8,18,41.7,0
61433.59,11,2.51,3.93,6,4.4,11,79.2,0
38905.94,50,3.38,3.56,7,2.2,12,17.7,0
44975.74,7,3.54,3.77,6,1.8,7,22.8,0
78577.38,38,3.39,3.27,8,2.7,9,14.2,0
44705.57,43,3.36,3.24,4,3.1,8,21.2,0
65289.3,33,1.92,2.99,7,2.0,20,21.9,1
60975.58,10,4.23,4.0,5,1.5,1,50.8,0
46136.51,60,3.65,3.56,5,4.9,12,27.9,0
141149.89,22,2.44,3.71,5,2.4,22,42.6,0
77154.69,22,3.19,2.79,4,1.1,3,38.3,0
26633.98,20,3.34,3.99,2,7.1,20,12.3,0
64510.4,46,3.17,3.72,5,6.4,38,39.6,0
45948.91,22,4.63,4.01,7,10.9,22,41.4,0
84201.95,14,1.64,3.74,4,4.0,14,39.1,0
43607.82,53,2.02,3.7,6,1.6,18,27.6,1
57188.35,30,1.36,2.23,4,10.0,8,78.2,1
73276.48,54,3.26,4.3,3,1.6,44,56.5,0
84651.84,31,3.64,2.58,2,5.3,13,16.8,0
37044.73,19,3.49,4.23,3,1.1,10,81.5,0
52375.78,8,2.97,3.45,5,5.0,8,32.2,0
49514.55,34,3.53,2.38,11,9.2,6,27.2,0
46104.61,25,2.96,3.44,4,3.9,10,15.7,0
121319.36,47,3.79,2.45,6,3.2,17,30.8,0
70403.11,21,4.09,4.28,8,25.2,21,46.0,0
36157.74,39,2.46,3.14,8,0.1,16,26.3,1
86434.72,30,2.97,2.77,4,2.0,29,44.8,0
139925.09,18,3.1,3.96,12,12.5,8,72.2,1
90489.23,22,4.34,3.47,7,5.1,22,68.6,1
32606.01,12,2.55,3.86,1,3.9,12,77.4,0
49330.92,80,4.08,3.42,1,5.1,47,29.2,1
99385.79,38,2.03,4.31,7,1.9,32,40.8,1
45113.29,11,4.19,3.22,3,0.4,5,32.3,0
71505.37,78,3.88,2.4,4,1.6,13,50.1,0
81621.96,14,3.08,2.73,2,2.1,2,44.5,1
41325.2,21,3.93,3.8,3,3.3,12,29.1,1
58465.37,26,2.8,3.04,8,2.5,22,37.3,1
16374.71,31,2.46,4.4,4,3.7,31,41.0,0
39745.22,46,4.57,2.68,10,1.1,15,69.1,0
54120.74,6,2.77,4.21,4,1.0,6,31.9,0
36347.72,31,3.74,3.2,3,2.2,22,47.4,0
115031.87,26,4.09,4.42,3,3.2,9,27.8,0
33790.79,34,3.85,3.85,3,2.1,8,36.7,0
50210.64,25,3.68,3.63,5,4.3,25,29.8,0
63088.65,23,3.74,3.97,5,1.9,23,18.0,0
106564.88,28,4.05,4.36,8,1.0,15,12.3,0
33713.55,75,3.45,3.46,7,9.9,3,26.1,0
95345.79,23,3.17,2.19,5,1.1,23,29.4,1
60119.72,58,2.1,4.34,1,17.0,8,40.3,1
40432.8,33,3.45,3.31,4,21.9,25,52.1,0
72030.25,32,4.02,5.0,6,6.0,12,20.1,0
64836.49,34,2.32,3.08,4,3.5,17,25.7,1
47094.58,41,3.02,3.23,4,7.9,25,46.2,1
61569.43,24,3.54,4.02,3,10.3,1,33.3,1
51321.99,56,4.41,4.03,3,6.2,9,17.8,0
62655.51,41,2.27,3.8,3,0.5,23,35.5,0
78030.28,12,3.83,3.11,7,0.0,9,18.6,0
112916.82,5,2.91,2.69,8,1.1,5,45.0,1
36492.93,74,2.66,3.03,6,1.0,30,78.9,0
140535.21,35,2.47,2.44,6,1.0,13,46.8,0
27423.75,11,2.68,4.94,2,3.6,11,62.4,1
56347.09,23,3.6,2.78,9,3.7,22,13.7,0
75760.09,51,3.02,3.29,7,6.4,31,37.6,1
66996.57,27,3.77,3.98,5,1.1,11,46.4,0
46672.96,29,2.3,3.5,6,0.5,1,13.0,0
55091.52,46,3.76,3.09,4,5.5,4,37.1,0
49158.23,37,3.55,3.4,6,3.3,16,37.7,0
47299.46,42,1.99,3.07,5,5.5,23,12.5,1
84106.64,45,4.4,3.32,5,2.4,15,33.0,0
69065.2,19,3.47,3.77,4,6.9,11,40.6,0
45380.43,20,3.81,2.77,2,5.7,20,46.7,0
85805.63,17,4.12,4.26,5,5.3,9,14.8,0
67705.3,21,3.97,3.55,6,0.1,5,8.7,0
82879.65,28,3.1,3.09,4,9.8,12,37.3,1
77022.4,29,3.78,3.28,6,2.4,19,26.8,0
42976.21,65,1.75,4.32,3,0.7,40,62.7,0
47854.84,36,3.52,4.07,8,7.0,36,94.4,0
80734.19,28,4.59,3.67,3,3.3,16,48.5,0
76431.34,15,2.64,3.08,5,0.2,14,73.9,0
59375.64,25,3.93,3.9,1,7.6,25,22.7,0
62751.07,77,4.62,3.51,9,2.9,12,47.7,0
99814.22,77,3.75,4.72,3,7.0,5,21.2,0
47257.73,25,4.02,3.47,2,7.0,25,50.5,0
74521.2,9,1.94,4.68,10,0.5,9,42.0,0
55222.34,23,2.45,3.64,4,4.7,8,52.0,0
54881.28,65,4.34,2.77,6,2.2,19,17.6,0
92921.54,28,3.97,5.0,11,4.0,13,47.0,0
83296.89,46,3.6,2.49,6,0.5,34,5.5,0
82901.12,30,2.99,2.12,3,4.4,5,60.2,0
100930.91,11,3.43,2.05,4,7.5,11,40.9,0
60379.3,31,4.59,5.0,7,21.6,22,37.0,1
78651.44,49,3.12,4.99,4,1.9,11,23.9,0
52885.97,21,3.76,3.6,7,0.8,21,121.3,0
68163.64,48,3.74,3.8,5,2.3,11,36.6,0
56837.0,32,2.67,3.68,7,0.1,8,34.4,0
62242.82,47,2.73,2.26,7,2.6,32,32.4,0
75967.65,37,4.42,4.52,1,12.3,13,25.8,0
43161.83,16,3.66,4.43,4,1.1,3,48.3,0
138268.8,25,2.66,2.64,10,3.2,18,53.2,0
40038.35,25,2.95,3.73,6,4.3,14,49.2,1
36839.45,20,2.41,3.45,10,1.0,20,90.1,0
95153.28,35,4.05,3.35,6,2.0,1,16.3,0
82179.82,85,3.0,3.02,4,12.1,23,33.8,1
76852.86,56,3.01,3.42,6,1.8,31,10.3,0
76982.87,60,3.87,3.13,2,5.0,5,31.6,0
59581.55,19,1.86,4.24,5,0.7,19,50.5,0
41818.67,61,3.17,3.48,5,5.5,20,17.5,1
61717.44,72,3.19,3.02,3,1.6,12,13.4,0
45667.19,19,2.97,3.48,6,1.3,16,12.4,1
88437.19,40,2.76,3.4,1,0.7,6,12.4,0
56453.75,40,2.63,3.37,3,0.2,14,54.4,0
43036.38,26,3.43,3.97,4,17.2,16,15.4,0
52651.27,34,2.39,3.31,5,2.7,14,51.6,0
70627.34,41,3.33,3.1,3,7.5,35,28.1,0
47787.06,27,2.76,2.55,1,12.6,20,19.3,1
43092.83,55,2.81,3.49,4,1.1,34,37.7,0
66004.28,12,3.36,4.37,4,10.2,12,31.1,0
66038.07,25,2.8,3.41,8,6.2,25,23.3,0
48884.85,46,4.21,3.15,6,4.3,19,9.4,0
49591.99,80,3.09,2.97,1,8.3,19,21.1,0
65697.75,56,4.04,2.29,6,0.6,36,25.8,0
33549.13,33,2.59,4.32,4,1.5,7,32.0,1
34098.7,28,2.57,3.84,3,0.7,20,33.7,0
44919.28,26,1.87,4.04,2,11.3,17,21.4,1
54974.3,26,2.81,3.68,5,0.5,26,38.8,0
67803.09,8,3.01,2.94,5,19.5,8,46.7,0
108027.65,78,3.26,3.28,6,0.6,23,70.3,0
84378.16,30,3.76,3.15,2,5.4,19,52.2,0
56163.63,18,3.7,3.21,3,5.4,18,11.3,0
59420.44,39,4.11,3.21,0,13.4,39,53.5,0
40094.25,19,2.49,4.27,6,2.0,13,67.4,1
59432.4,52,3.22,4.92,7,2.0,18,77.0,0
53345.05,18,2.4,2.89,3,9.4,18,14.6,0
68124.18,47,3.53,3.38,7,19.2,6,28.7,1
43006.55,25,4.64,3.65,7,0.2,16,11.0,0
73698.56,36,2.24,2.81,5,5.0,4,28.5,0
110535.89,50,3.75,3.54,5,1.4,22,19.7,0
57325.22,22,4.04,3.75,4,6.5,9,35.3,0
70311.08,49,2.49,3.45,5,7.4,9,47.6,0
78909.55,8,3.55,3.94,2,7.2,4,29.7,0
50996.48,69,2.91,3.5,4,2.9,17,96.9,0
65488.97,54,3.1,1.49,6,0.9,25,45.0,0
60176.49,29,2.89,2.83,5,4.4,6,44.7,1
62259.75,59,3.02,4.5,4,7.8,5,46.9,0
43949.48,56,4.12,3.86,6,12.2,24,12.7,0
60464.04,31,3.14,1.5,4,3.0,2,47.7,1
73071.91,30,2.72,2.44,4,1.4,27,20.4,0
106986.45,17,3.26,4.01,6,0.6,17,43.1,0
87878.31,32,1.5,3.1,4,8.0,12,32.9,1
141672.45,10,2.55,1.61,7,3.8,10,29.6,0
44049.13,47,4.2,4.24,7,5.6,13,20.3,0
84874.44,48,3.08,4.01,6,0.9,7,26.2,0
64430.14,8,2.82,2.92,4,0.0,8,30.6,0
143762.97,65,3.34,4.37,5,17.1,20,22.0,0
43333.47,21,3.79,2.95,5,8.3,21,9.0,1
42792.21,125,4.26,3.06,5,2.6,10,48.4,0
47110.11,35,2.84,3.16,6,3.1,9,5.0,1
25602.41,66,2.86,2.17,6,13.2,13,21.6,1
48518.38,16,3.02,3.79,8,1.2,8,26.3,0
44194.12,25,4.02,3.86,4,8.1,20,29.6,0
63586.57,22,3.25,3.18,9,0.1,13,78.2,1
68644.92,10,4.93,3.99,11,10.4,7,50.2,0
126812.94,13,3.07,2.39,5,4.4,6,6.8,1
87567.88,28,4.61,3.98,5,3.2,16,56.9,0
47535.81,38,2.49,3.73,5,6.1,20,10.1,0
41799.27,15,2.09,3.02,2,0.4,15,38.7,0
72894.44,24,3.12,3.79,4,1.1,24,41.9,0
35309.48,19,4.11,2.88,6,2.6,9,15.7,0
124565.07,29,2.82,4.27,3,4.8,13,20.1,0
95968.57,45,2.71,3.87,6,0.8,37,23.2,0
49628.96,33,4.02,3.75,6,2.4,6,21.4,0
30174.31,21,3.76,3.18,2,1.5,8,13.2,0
102903.71,55,2.57,4.04,2,5.2,28,44.0,1
57192.84,38,2.52,4.34,7,12.6,34,13.9,1
98235.85,33,3.86,4.62,7,0.9,33,25.6,0
31641.63,15,1.89,3.12,5,1.0,15,23.0,1
47110.44,51,4.06,4.07,4,4.6,0,23.8,0
59999.86,40,3.75,4.48,3,3.0,17,27.6,0
61009.95,41,1.38,3.33,5,6.3,22,31.2,1
50009.78,27,3.21,4.48,2,1.7,18,2.2,0
76813.83,24,1.62,3.61,5,3.9,24,15.1,1
39063.81,79,2.24,2.79,6,2.4,7,58.2,1
56559.49,23,2.8,3.0,7,1.7,16,46.2,0
62825.62,13,2.19,2.49,6,6.5,13,6.6,1
73554.03,34,4.97,3.47,4,7.9,6,17.7,0
79590.18,30,3.89,3.39,3,2.0,9,28.6,0
38182.9,56,4.29,3.63,4,4.9,21,14.9,0
32414.28,28,3.09,4.45,4,1.0,21,29.1,0
99814.7,44,3.22,3.49,12,7.8,44,16.3,1
68386.15,68,4.46,3.31,6,1.7,13,54.9,0
44382.72,39,3.55,3.36,4,0.9,12,48.5,0
111353.02,16,3.69,2.2,4,14.1,16,69.4,0
62709.6,8,2.47,3.98,13,2.7,8,45.3,0
95963.09,39,2.47,3.39,6,5.2,24,40.9,0
61513.22,25,3.41,3.56,4,8.3,22,15.5,0
136529.93,36,3.5,3.36,5,5.8,29,19.8,0
120829.57,31,2.4,3.59,3,4.2,27,42.7,0
54198.82,13,3.49,2.58,4,2.3,13,23.1,0
88311.74,28,2.22,3.5,6,12.5,21,47.2,1
77509.08,15,3.21,3.08,5,0.7,15,11.8,0
103513.01,22,2.05,3.52,6,10.8,13,33.0,0
40701.92,51,4.26,2.79,5,6.2,12,29.8,0
78780.48,32,2.95,3.83,7,4.2,32,18.6,1
91433.74,43,2.65,3.51,5,2.0,35,31.5,0
29628.86,34,2.28,2.59,7,0.8,19,15.0,1
37298.06,26,2.21,4.16,5,2.9,18,29.2,0
26484.29,36,3.55,3.14,4,7.7,12,11.0,0
53757.44,9,4.0,3.25,7,6.8,9,20.2,0
79779.1,47,3.92,4.06,4,5.2,1,58.9,0
109200.71,18,4.32,4.25,4,24.5,18,58.1,0
61675.24,41,4.6,3.17,5,18.0,10,27.9,0
114857.35,25,3.97,3.58,1,2.6,23,35.5,0
34473.96,13,2.8,3.98,7,1.1,13,66.2,1
30292.25,20,3.34,4.38,1,3.1,20,26.9,0
58558.46,41,1.39,3.56,5,9.3,41,12.4,1
69816.54,93,3.71,3.83,5,3.1,13,38.5,1
59096.21,29,3.32,2.86,4,2.0,10,24.0,0
26187.13,87,4.48,2.44,4,6.8,15,64.2,0
57777.34,9,2.61,3.89,5,5.3,9,18.1,0
35532.83,26,3.61,2.94,7,17.3,19,21.0,1
78266.04,29,2.4,2.85,1,4.0,22,34.0,0
69330.44,43,3.11,3.95,8,17.1,20,59.0,0
41111.7,20,1.89,3.4,3,1.7,20,46.9,1
48749.65,38,4.28,3.66,4,10.0,10,34.3,0
39195.4,27,4.04,2.6,4,2.2,27,45.2,0
58391.66,61,2.82,2.86,6,8.3,20,80.2,0
87733.31,34,3.41,4.64,6,13.0,4,29.7,1
40364.65,119,3.23,3.04,3,4.9,8,13.7,0
73248.91,27,2.71,3.36,3,6.5,26,33.8,1
48431.08,58,3.3,3.67,2,15.9,37,64.3,0
43601.68,69,2.85,2.75,3,2.4,20,17.9,0
57364.9,4,3.98,4.45,5,3.6,4,15.2,0
39573.03,47,3.03,3.51,6,11.4,6,52.5,1
47980.04,13,5.0,3.33,6,5.6,13,15.3,0
37080.59,27,3.14,4.25,6,10.3,8,39.5,0
131385.37,14,3.29,4.14,5,4.8,4,28.8,1
60724.68,61,3.62,4.88,5,6.7,25,44.9,0
45256.87,21,3.87,3.19,6,0.1,11,53.5,0
65224.6,9,3.26,5.0,6,2.1,9,18.0,0
57243.47,35,3.61,3.95,5,7.4,10,15.6,0
54809.14,66,3.35,4.68,6,2.6,46,56.1,1
76547.5,14,2.58,4.19,6,2.3,6,40.0,0
81064.72,50,2.36,3.05,6,15.1,6,22.8,0
48426.36,7,3.76,2.92,4,4.0,7,6.2,0
47556.45,69,4.41,2.24,7,1.1,1,12.1,0
53636.19,39,1.9,2.09,6,3.2,39,38.2,1
23842.66,13,2.05,3.07,3,3.7,13,27.7,1
32660.56,48,2.04,4.39,7,22.4,31,56.1,1
103440.28,22,3.82,3.15,4,6.3,17,54.8,1
115611.08,17,3.89,3.03,9,3.7,6,22.1,0
54197.26,22,2.42,3.99,5,2.8,22,34.8,0
75404.54,45,4.96,2.9,5,12.4,40,49.9,1
67812.38,16,2.89,4.79,9,5.2,7,24.4,0
